Mito,Cage,Replicate,Time,Count
Bei,1,1,95.5,1
Bei,1,2,95.5,2
Bei,1,3,95.5,1
Bei,1,4,95.5,1
Bei,1,5,95.5,2
Bei,3,1,95.5,8
Bei,3,2,95.5,7
Bei,3,3,95.5,4
Bei,3,4,95.5,6
Bei,3,5,95.5,6
Bei,5,1,95.5,4
Bei,5,2,95.5,2
Bei,5,3,95.5,1
Bei,5,4,95.5,4
Bei,5,5,95.5,3
Yak,1,1,95.5,3
Yak,1,2,95.5,0
Yak,1,3,95.5,0
Yak,1,4,95.5,0
Yak,1,5,95.5,0
Yak,3,1,95.5,0
Yak,3,2,95.5,0
Yak,3,3,95.5,1
Yak,3,4,95.5,0
Yak,3,5,95.5,2
Yak,5,1,95.5,3
Yak,5,2,95.5,1
Yak,5,3,95.5,0
Yak,5,4,95.5,0
Yak,5,5,95.5,1
Zim,1,1,95.5,1
Zim,1,2,95.5,0
Zim,1,3,95.5,0
Zim,1,4,95.5,1
Zim,1,5,95.5,0
Zim,3,1,95.5,4
Zim,3,2,95.5,3
Zim,3,3,95.5,4
Zim,3,4,95.5,1
Zim,3,5,95.5,1
Zim,5,1,95.5,2
Zim,5,2,95.5,3
Zim,5,3,95.5,2
Zim,5,4,95.5,5
Zim,5,5,95.5,2
Bei,1,1,99.5,5
Bei,1,2,99.5,5
Bei,1,3,99.5,8
Bei,1,4,99.5,7
Bei,1,5,99.5,7
Bei,3,1,99.5,7
Bei,3,2,99.5,7
Bei,3,3,99.5,8
Bei,3,4,99.5,5
Bei,3,5,99.5,7
Bei,5,1,99.5,16
Bei,5,2,99.5,12
Bei,5,3,99.5,4
Bei,5,4,99.5,10
Bei,5,5,99.5,8
Yak,1,1,99.5,8
Yak,1,2,99.5,3
Yak,1,3,99.5,6
Yak,1,4,99.5,6
Yak,1,5,99.5,4
Yak,3,1,99.5,0
Yak,3,2,99.5,6
Yak,3,3,99.5,8
Yak,3,4,99.5,8
Yak,3,5,99.5,9
Yak,5,1,99.5,3
Yak,5,2,99.5,1
Yak,5,3,99.5,5
Yak,5,4,99.5,3
Yak,5,5,99.5,5
Zim,1,1,99.5,18
Zim,1,2,99.5,12
Zim,1,3,99.5,10
Zim,1,4,99.5,7
Zim,1,5,99.5,11
Zim,3,1,99.5,7
Zim,3,2,99.5,3
Zim,3,3,99.5,11
Zim,3,4,99.5,9
Zim,3,5,99.5,8
Zim,5,1,99.5,12
Zim,5,2,99.5,11
Zim,5,3,99.5,15
Zim,5,4,99.5,11
Zim,5,5,99.5,7
Bei,1,1,104,18
Bei,1,2,104,10
Bei,1,3,104,17
Bei,1,4,104,16
Bei,1,5,104,13
Bei,3,1,104,1
Bei,3,2,104,1
Bei,3,3,104,2
Bei,3,4,104,4
Bei,3,5,104,5
Bei,5,1,104,11
Bei,5,2,104,11
Bei,5,3,104,20
Bei,5,4,104,12
Bei,5,5,104,17
Yak,1,1,104,11
Yak,1,2,104,13
Yak,1,3,104,7
Yak,1,4,104,8
Yak,1,5,104,11
Yak,3,1,104,11
Yak,3,2,104,7
Yak,3,3,104,14
Yak,3,4,104,6
Yak,3,5,104,18
Yak,5,1,104,6
Yak,5,2,104,15
Yak,5,3,104,9
Yak,5,4,104,7
Yak,5,5,104,9
Zim,1,1,104,10
Zim,1,2,104,10
Zim,1,3,104,13
Zim,1,4,104,5
Zim,1,5,104,9
Zim,3,1,104,10
Zim,3,2,104,9
Zim,3,3,104,8
Zim,3,4,104,10
Zim,3,5,104,10
Zim,5,1,104,10
Zim,5,2,104,14
Zim,5,3,104,11
Zim,5,4,104,3
Zim,5,5,104,5
Bei,1,1,116,11
Bei,1,2,116,18
Bei,1,3,116,9
Bei,1,4,116,8
Bei,1,5,116,16
Bei,3,1,116,15
Bei,3,2,116,8
Bei,3,3,116,10
Bei,3,4,116,12
Bei,3,5,116,12
Bei,5,1,116,7
Bei,5,2,116,3
Bei,5,3,116,1
Bei,5,4,116,5
Bei,5,5,116,5
Yak,1,1,116,12
Yak,1,2,116,9
Yak,1,3,116,10
Yak,1,4,116,13
Yak,1,5,116,15
Yak,3,1,116,20
Yak,3,2,116,16
Yak,3,3,116,12
Yak,3,4,116,14
Yak,3,5,116,16
Yak,5,1,116,11
Yak,5,2,116,9
Yak,5,3,116,6
Yak,5,4,116,11
Yak,5,5,116,12
Zim,1,1,116,8
Zim,1,2,116,11
Zim,1,3,116,14
Zim,1,4,116,4
Zim,1,5,116,10
Zim,3,1,116,8
Zim,3,2,116,8
Zim,3,3,116,4
Zim,3,4,116,8
Zim,3,5,116,14
Zim,5,1,116,4
Zim,5,2,116,6
Zim,5,3,116,6
Zim,5,4,116,6
Zim,5,5,116,8
Bei,1,1,120,5
Bei,1,2,120,0
Bei,1,3,120,0
Bei,1,4,120,0
Bei,1,5,120,0
Bei,3,1,120,1
Bei,3,2,120,12
Bei,3,3,120,5
Bei,3,4,120,2
Bei,3,5,120,6
Bei,5,1,120,0
Bei,5,2,120,7
Bei,5,3,120,4
Bei,5,4,120,5
Bei,5,5,120,1
Yak,1,1,120,4
Yak,1,2,120,0
Yak,1,3,120,2
Yak,1,4,120,2
Yak,1,5,120,1
Yak,3,1,120,0
Yak,3,2,120,0
Yak,3,3,120,2
Yak,3,4,120,0
Yak,3,5,120,0
Yak,5,1,120,3
Yak,5,2,120,0
Yak,5,3,120,1
Yak,5,4,120,0
Yak,5,5,120,4
Zim,1,1,120,0
Zim,1,2,120,11
Zim,1,3,120,2
Zim,1,4,120,6
Zim,1,5,120,0
Zim,3,1,120,10
Zim,3,2,120,5
Zim,3,3,120,0
Zim,3,4,120,2
Zim,3,5,120,6
Zim,5,1,120,3
Zim,5,2,120,1
Zim,5,3,120,0
Zim,5,4,120,3
Zim,5,5,120,4
Bei,1,1,124,0
Bei,1,2,124,4
Bei,1,3,124,1
Bei,1,4,124,0
Bei,1,5,124,0
Bei,3,1,124,0
Bei,3,2,124,8
Bei,3,3,124,0
Bei,3,4,124,0
Bei,3,5,124,2
Bei,5,1,124,0
Bei,5,2,124,4
Bei,5,3,124,1
Bei,5,4,124,0
Bei,5,5,124,2
Yak,1,1,124,0
Yak,1,2,124,0
Yak,1,3,124,0
Yak,1,4,124,1
Yak,1,5,124,0
Yak,3,1,124,2
Yak,3,2,124,2
Yak,3,3,124,0
Yak,3,4,124,4
Yak,3,5,124,0
Yak,5,1,124,0
Yak,5,2,124,1
Yak,5,3,124,0
Yak,5,4,124,1
Yak,5,5,124,1
Zim,1,1,124,3
Zim,1,2,124,3
Zim,1,3,124,0
Zim,1,4,124,0
Zim,1,5,124,0
Zim,3,1,124,0
Zim,3,2,124,1
Zim,3,3,124,2
Zim,3,4,124,2
Zim,3,5,124,0
Zim,5,1,124,3
Zim,5,2,124,0
Zim,5,3,124,0
Zim,5,4,124,1
Zim,5,5,124,2
Bei,1,1,127.5,0
Bei,1,2,127.5,0
Bei,1,3,127.5,0
Bei,1,4,127.5,0
Bei,1,5,127.5,1
Bei,3,1,127.5,2
Bei,3,2,127.5,0
Bei,3,3,127.5,1
Bei,3,4,127.5,1
Bei,3,5,127.5,2
Bei,5,1,127.5,0
Bei,5,2,127.5,0
Bei,5,3,127.5,0
Bei,5,4,127.5,0
Bei,5,5,127.5,0
Yak,1,1,127.5,0
Yak,1,2,127.5,0
Yak,1,3,127.5,0
Yak,1,4,127.5,1
Yak,1,5,127.5,0
Yak,3,1,127.5,0
Yak,3,2,127.5,0
Yak,3,3,127.5,0
Yak,3,4,127.5,4
Yak,3,5,127.5,0
Yak,5,1,127.5,0
Yak,5,2,127.5,0
Yak,5,3,127.5,1
Yak,5,4,127.5,1
Yak,5,5,127.5,0
Zim,1,1,127.5,0
Zim,1,2,127.5,0
Zim,1,3,127.5,0
Zim,1,4,127.5,2
Zim,1,5,127.5,0
Zim,3,1,127.5,0
Zim,3,2,127.5,0
Zim,3,3,127.5,1
Zim,3,4,127.5,0
Zim,3,5,127.5,0
Zim,5,1,127.5,0
Zim,5,2,127.5,2
Zim,5,3,127.5,0
Zim,5,4,127.5,0
Zim,5,5,127.5,0
Bei,1,1,139.5,0
Bei,1,2,139.5,0
Bei,1,3,139.5,0
Bei,1,4,139.5,0
Bei,1,5,139.5,0
Bei,3,1,139.5,0
Bei,3,2,139.5,0
Bei,3,3,139.5,0
Bei,3,4,139.5,4
Bei,3,5,139.5,0
Bei,5,1,139.5,0
Bei,5,2,139.5,0
Bei,5,3,139.5,0
Bei,5,4,139.5,0
Bei,5,5,139.5,0
Yak,1,1,139.5,0
Yak,1,2,139.5,1
Yak,1,3,139.5,0
Yak,1,4,139.5,0
Yak,1,5,139.5,2
Yak,3,1,139.5,0
Yak,3,2,139.5,0
Yak,3,3,139.5,0
Yak,3,4,139.5,0
Yak,3,5,139.5,0
Yak,5,1,139.5,4
Yak,5,2,139.5,0
Yak,5,3,139.5,0
Yak,5,4,139.5,1
Yak,5,5,139.5,4
Zim,1,1,139.5,0
Zim,1,2,139.5,0
Zim,1,3,139.5,0
Zim,1,4,139.5,3
Zim,1,5,139.5,0
Zim,3,1,139.5,0
Zim,3,2,139.5,2
Zim,3,3,139.5,0
Zim,3,4,139.5,1
Zim,3,5,139.5,0
Zim,5,1,139.5,0
Zim,5,2,139.5,0
Zim,5,3,139.5,0
Zim,5,4,139.5,0
Zim,5,5,139.5,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,